id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,price_quote_price_per_night,minimum_nights,number_of_reviews,review_scores_rating,city
810887647997756545,41.88055,12.5229,Entire condo,Entire home/apt,2,1.0,1.0,172.0,172.0,1.0,81,4.96,Rome
810909656432610751,41.9139612,12.4589771,Entire rental unit,Entire home/apt,4,1.0,1.0,122.5,122.5,1.0,18,4.33,Rome
811464960544585248,41.9282995,12.4836564,Entire rental unit,Entire home/apt,4,1.0,1.0,209.5,209.5,1.0,98,4.87,Rome
811501066404511052,41.9072532695732,12.44998671533788,Entire home,Entire home/apt,2,1.0,1.0,114.41,114.41,2.0,166,4.87,Rome
811665391179337723,41.896296760568205,12.502593621611595,Private room in home,Private room,2,1.0,1.0,96.5,96.5,2.0,33,4.39,Rome
811677842485248184,41.89314321021197,12.489278131482736,Entire condo,Entire home/apt,2,1.0,1.0,183.78,183.78,2.0,133,4.84,Rome
811993550040837214,41.89643671739942,12.464413256665129,Entire rental unit,Entire home/apt,4,1.0,1.0,128.5,128.5,2.0,69,4.88,Rome
812068456655051741,41.89758249813499,12.479183301329613,Entire condo,Entire home/apt,6,2.0,2.0,350.0,350.0,1.0,31,4.77,Rome
812102383320572377,41.9070393,12.4768603,Entire condo,Entire home/apt,4,1.0,1.0,330.0,330.0,2.0,5,4.6,Rome
812115552598995560,41.8993,12.46562,Entire rental unit,Entire home/apt,2,1.0,1.0,123.63,123.63,3.0,170,4.9,Rome
812248944089459413,41.88130536254263,12.5235349423279,Entire rental unit,Entire home/apt,5,1.0,2.0,187.71,187.71,31.0,51,4.92,Rome
812260269426924595,41.85722,12.56347,Entire rental unit,Entire home/apt,5,1.0,2.0,144.5,144.5,2.0,84,4.96,Rome
812363834354795403,41.9382607,12.5360099,Entire rental unit,Entire home/apt,2,1.0,1.0,92.9,92.9,2.0,6,4.83,Rome
812438982982710261,41.87258,12.52074,Entire rental unit,Entire home/apt,2,1.0,1.0,84.03,84.03,2.0,122,4.61,Rome
812747080905229254,41.9041138,12.4752443,Entire condo,Entire home/apt,4,2.0,2.0,324.09,324.09,1.0,189,4.94,Rome
812766669814941365,41.8209639,12.463445,Entire home,Entire home/apt,3,1.0,1.0,131.5,131.5,2.0,85,4.6,Rome
812899768339549694,41.9028851477619,12.459823385962624,Entire rental unit,Entire home/apt,4,2.0,2.0,417.5,417.5,2.0,67,4.97,Rome
812902907443465931,41.8996045,12.4733781,Private room in serviced apartment,Private room,2,1.0,1.0,225.0,225.0,1.0,27,4.74,Rome
812967010688387672,41.9000339406715,12.472486159878326,Private room in serviced apartment,Private room,2,1.0,1.0,120.0,120.0,1.0,25,4.96,Rome
812978117226318340,41.88835,12.50021,Entire rental unit,Entire home/apt,8,2.0,3.0,510.0,510.0,1.0,29,4.76,Rome
813044119649581855,41.899403661588345,12.465276844511704,Entire condo,Entire home/apt,2,1.0,1.0,223.0,223.0,1.0,267,4.91,Rome
813573244543949982,41.91055,12.51433,Private room in rental unit,Private room,2,0.5,2.0,118.67,118.67,3.0,77,4.96,Rome
813628508386603000,41.8992298,12.4538112,Entire rental unit,Entire home/apt,5,2.0,2.0,294.0,294.0,1.0,239,4.9,Rome
813655539799189367,41.92135,12.47479,Entire rental unit,Entire home/apt,7,2.0,3.0,262.5,262.5,2.0,131,4.97,Rome
813671805781813758,41.88895,12.52399,Entire rental unit,Entire home/apt,4,1.0,1.0,112.77,112.77,2.0,180,4.91,Rome
813677831958969486,41.8604181,12.5603485,Entire rental unit,Entire home/apt,4,1.0,2.0,1182.0,1182.0,1.0,26,4.77,Rome
814245765573867317,41.90105,12.4703,Entire rental unit,Entire home/apt,2,1.0,1.0,151.21,151.21,2.0,187,4.76,Rome
814259859442587052,41.909087440668536,12.456522990707407,Entire rental unit,Entire home/apt,5,1.5,1.0,269.0,269.0,1.0,5,4.6,Rome
814938202350207086,41.93620303555696,12.515561443304351,Entire rental unit,Entire home/apt,3,1.0,1.0,285.0,285.0,1.0,56,4.88,Rome
814948523345987356,41.9316934,12.5237508,Entire rental unit,Entire home/apt,3,1.0,2.0,176.0,176.0,1.0,61,4.92,Rome
814957749846649260,41.8722052,12.4522842,Entire rental unit,Entire home/apt,2,1.0,1.0,112.22,112.22,3.0,34,4.79,Rome
814986975671621622,41.93311,12.42237,Entire condo,Entire home/apt,4,1.0,1.0,93.86,93.86,10.0,31,4.74,Rome
815637948507646277,41.89560402770946,12.471195626983658,Entire rental unit,Entire home/apt,6,1.0,2.0,225.5,225.5,2.0,108,4.89,Rome
816010324877006829,41.90462,12.48665,Entire rental unit,Entire home/apt,7,1.0,1.0,246.21,246.21,1.0,131,4.87,Rome
816040608646501428,41.88200700418453,12.47158020557631,Entire rental unit,Entire home/apt,6,2.0,2.0,236.0,236.0,1.0,96,4.98,Rome
816377262162525985,41.9093171,12.4984407,Entire rental unit,Entire home/apt,6,1.5,2.0,346.5,346.5,2.0,123,4.97,Rome
816383835180972028,41.88367,12.49878,Entire rental unit,Entire home/apt,8,1.5,3.0,180.54,180.54,2.0,152,4.88,Rome
816417849344818814,41.92075,12.48047,Entire rental unit,Entire home/apt,4,2.0,2.0,243.33,243.33,3.0,15,4.87,Rome
816445584516811201,41.81769081795358,12.45479431003332,Entire rental unit,Entire home/apt,5,2.0,2.0,155.0,155.0,2.0,105,4.96,Rome
816458639347821482,41.8965,12.46358,Entire rental unit,Entire home/apt,4,1.0,1.0,135.0,135.0,2.0,10,4.8,Rome
816542455416437808,41.89241261997186,12.492508397483814,Entire rental unit,Entire home/apt,7,3.0,3.0,417.0,417.0,1.0,146,4.91,Rome
817159566847768216,41.89922,12.47115,Entire rental unit,Entire home/apt,2,1.0,1.0,183.0,183.0,2.0,84,4.83,Rome
817244731052260071,41.90256,12.47355,Room in boutique hotel,Private room,2,1.0,1.0,149.0,149.0,1.0,48,4.75,Rome
817250855700961400,41.90094,12.47414,Room in boutique hotel,Private room,4,1.0,1.0,179.0,179.0,1.0,25,4.88,Rome
817296288533354472,41.907,12.47684,Entire rental unit,Entire home/apt,6,1.0,2.0,202.5,202.5,2.0,26,4.31,Rome
817310805288718474,41.73342,12.26912,Entire rental unit,Entire home/apt,4,1.0,2.0,143.0,143.0,2.0,61,4.85,Rome
